user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x176210560,skepticalsports,2018-11-07T05:14:58Z,x1060037874731499520,11,1,"There was a saying about the Green Party in Germany when I lived there: “Green on the outside, Red on the inside.” Works a lot of different ways, really. https://t.co/gMZtfNU6ER"
x176210560,skepticalsports,2018-11-07T05:53:48Z,x1060047647824703488,3,0,Well then https://t.co/AxeI82zZ9r
x176210560,skepticalsports,2018-11-07T06:16:20Z,x1060053317923917824,48,12,This has got to be just about the lamest talking point I’ve seen many reasonably smart people spread tonight. Among other things (cough California cough) Dems *are currently winning twice as many Senate seats up for election tonight as the Republicans.* OBV they have more votes. https://t.co/uEVxnxi8aD
x176210560,skepticalsports,2018-11-07T20:15:41Z,x1060264549004140544,11,2,One thing that seems to be getting lost in the horserace Senate coverage is extent that Dems wiped the floor with the GOP last night (currently 23-9 in called Senate races). The only reason GOP expanded majority is they weren’t wiped out *quite as badly* as they were 6 years ago.
x176210560,skepticalsports,2018-11-08T03:42:02Z,x1060376875468345345,3,0,I’m amazed at the extent to which both sides claim the video clearly proves them right on this one. #TheDress https://t.co/874UvguCE7
x176210560,skepticalsports,2018-11-09T17:43:54Z,x1060951123899502592,21,4,"I think it isn’t so much that the reactionary right-wing media is the propaganda branch of the state, as that POTUS is the state propaganda branch of the reactionary right-wing media. https://t.co/5dkLDGzakc"
x176210560,skepticalsports,2018-11-10T22:41:20Z,x1061388364182482944,32,0,"OK, Red Dead Redemption II is a marvel, but this poker minigame is stupendously garbage. They say “raise” for bets, chip denominations make no sense, plus an opponent just called my large pot-sized bluff on the river with a 5-high. (I won with 6-high.)"
x176210560,skepticalsports,2018-11-13T06:13:13Z,x1062226862053543936,3,0,😢 https://t.co/COJmx9thU9
x176210560,skepticalsports,2018-11-14T16:01:55Z,x1062737400319758336,9,0,Scrooge swims through more fictional gold than has ever been mined IRL. https://t.co/xJl234K1p2
x176210560,skepticalsports,2018-11-14T17:00:30Z,x1062752142987997185,87,5,"This is literally how probabilistic forecasting works. If anything, since 2008, Nate’s (U.S.) election models have been a little more accurate than they have claimed to be. Criticize him for that! https://t.co/AHWgBcLEcw"
x176210560,skepticalsports,2018-11-14T20:15:05Z,x1062801109796802560,1,0,@bryanalvarez How hot is @BeckyLynchWWE right now? Her selecting a replacement for Survivor Series has about the same number of Youtube views as @WWEDanielBryan turning heel and winning the WWE championship: https://t.co/1EZCPoSu3r
